subid,tr.num,condition,dot,gender,age,notes,order,keep,reason_excluded,response,response_onset_type,rt,shift_type,shift_accuracy
10_20_01,49,bullseye,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,noun,0.07699999999999996,D_C,incorrect
10_20_01,49,bullseye,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.3370000000000002,T_C,incorrect
10_20_01,50,bullseye,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,center.fixation,0.8999999999999999,D_C,incorrect
10_20_01,50,bullseye,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,noun,0.6970000000000001,T_C,incorrect
10_20_01,50,bullseye,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,sentence,0.73,D_C,incorrect
10_20_01,51,bullseye,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,center.fixation,0.10000000000000009,D_T,incorrect
10_20_01,51,bullseye,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,noun,0.41999999999999993,D_T,incorrect
10_20_01,51,bullseye,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.16300000000000003,T_C,incorrect
10_20_01,52,bullseye,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,center.fixation,0.30000000000000004,D_C,incorrect
10_20_01,52,bullseye,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,noun,0.06300000000000017,T_D,incorrect
